Name,DBaaS,License,Web-site,Details,Type,DB-engines-Score,size
Google Search Appliance,no,Commercial,www.google.com/­enterprise/­search/­campaigns/­gsa7.html,http://db-engines.com/en/system/Google+Search+Appliance,Search engine,3.7,371
Berkeley DB,no,Open Source,http://www.oracle.com/technetwork/products/berkeleydb/,http://db-engines.com/en/system/Berkeley+DB,Key-value store,3.6,361
Titan,no,Open Source,http://thinkaurelius.github.com/titan/,http://db-engines.com/en/system/Titan,Graph DBMS,3.51,352
MaxDB,no,Commercial,http://maxdb.sap.com/,http://db-engines.com/en/system/MaxDB,Relational DBMS,3.35,336
Oracle Coherence,no,Commercial,www.oracle.com/­technetwork/­middleware/­coherence/­overview/­index.html,http://db-engines.com/en/system/Oracle+Coherence,Key-value store,3.3,331
Accumulo,no,Open Source,http://db-engines.com/en/system/Accumulo,http://db-engines.com/en/system/Accumulo,Wide column store,3.07,308
UniData/UniVerse,no,Commercial,http://u2.rocketsoftware.com/,http://db-engines.com/en/system/UniData%2CUniVerse,Multivalue DBMS,3.07,308
Virtuoso,no,Open Source,http://virtuoso.openlinksw.com/,http://db-engines.com/en/system/Virtuoso,Multi-model ,3.06,307
Virtuoso,no,Open Source,http://virtuoso.openlinksw.com/,http://db-engines.com/en/system/Virtuoso,Native XML DBMS,3.06,307
Virtuoso,no,Open Source,http://virtuoso.openlinksw.com/,http://db-engines.com/en/system/Virtuoso,Relational DBMS,3.06,307
Virtuoso,no,Open Source,http://virtuoso.openlinksw.com/,http://db-engines.com/en/system/Virtuoso,RDF store,3.06,307
Amazon SimpleDB,yes,Commercial,aws.amazon.com/­simpledb,http://db-engines.com/en/system/Amazon+SimpleDB,Key-value store,2.96,297
SAP Advantage Database Server,no,Commercial,www.sap.com/­pc/­tech/­database/­software/­advantage-database-server,http://db-engines.com/en/system/SAP+Advantage+Database+Server,Relational DBMS,2.7,271
TimesTen,no,Commercial,http://www.oracle.com/us/products/database/timesten/index.html,http://db-engines.com/en/system/TimesTen,Relational DBMS,2.69,270
Aerospike,no,Open Source,www.aerospike.com,http://db-engines.com/en/system/Aerospike,Key-value store,2.42,243
Caché,no,Commercial,http://www.intersystems.com/cache/index.html,http://db-engines.com/en/system/Cach%C3%A9,Object oriented DBMS,2.38,239
OpenEdge,no,Commercial,http://www.progress.com/en/openedge/developer-productivity/database/index.html,http://db-engines.com/en/system/OpenEdge,Relational DBMS,2.17,218
